Year,Home_Team,Away_Team,elo_H,elo_A
2011,NE,MIA,1733.97,1488.632
2011,KC,OAK,1464.26,1478.03
2011,DAL,PHI,1523.885,1548.727
2011,GB,CHI,1750.613,1496.819
2011,NO,ATL,1662.604,1611.79
2011,PHI,WAS,1578.701,1388.679
2011,LAR,SF,1282.507,1625.673
2011,CIN,BAL,1532.991,1629.706
2011,ATL,TB,1589.868,1330.176
2011,MIA,NYJ,1485.145,1525.298
2011,HOU,TEN,1565.452,1478.63
2011,JAX,IND,1386.755,1373.803
2011,MIN,CHI,1393.459,1490.309
2011,NO,CAR,1684.526,1467.958
2011,NE,BUF,1737.457,1415.011
2011,NYG,DAL,1514.269,1493.91
2011,GB,DET,1757.124,1549.811
2011,DEN,KC,1444.003,1447.988
2011,ARI,SEA,1433.709,1505.133
2011,CLE,PIT,1371.366,1648.6
2011,OAK,LAC,1494.301,1530.144
2011,NO,DET,1694.383,1544.868
2011,HOU,CIN,1554.946,1513.302
2011,NYG,ATL,1535.392,1597.067
2011,DEN,PIT,1424.572,1655.282
2011,SF,NO,1631.868,1706.252
2011,NE,DEN,1743.015,1454.956
2011,GB,NYG,1762.067,1566.4
2011,BAL,HOU,1649.394,1575.652
2011,NE,BAL,1750.17,1661.534
2011,SF,NYG,1648.468,1620.019
2011,NYG,NE,1638.3,1757.744
2012,NYG,DAL,1608.966,1483.525
2012,DET,LAR,1523.667,1352.541
2012,DEN,PIT,1466.868,1584.932
2012,GB,SF,1640.631,1588.458
2012,HOU,MIA,1544.008,1498.489
2012,KC,ATL,1479.946,1545.706
2012,MIN,JAX,1421.03,1435.934
2012,NO,WAS,1628.101,1420.251
2012,NYJ,BUF,1511.807,1441.302
2012,TEN,NE,1494.424,1658.397
2012,TB,CAR,1383.651,1473.735
2012,CHI,IND,1504.815,1407.771
2012,ARI,SEA,1466.913,1495.649
2012,CLE,PHI,1411.456,1561.336
2012,BAL,CIN,1604.306,1496.731
2012,OAK,LAC,1479.087,1540.543
2012,GB,CHI,1609.88,1520.829
2012,PIT,NYJ,1554.666,1529.835
2012,LAC,TEN,1562.775,1473.05
2012,NE,ARI,1679.771,1481.1
2012,PHI,BAL,1566.411,1621.675
2012,LAR,WAS,1346.6,1461.783
2012,MIA,OAK,1478.422,1456.855
2012,NYG,TB,1574.838,1404.753
2012,SEA,DAL,1481.462,1517.653
2012,SF,DET,1619.21,1529.607
2012,BUF,KC,1423.274,1451.686
2012,CAR,NO,1452.632,1586.57
2012,CIN,CLE,1479.362,1406.38
2012,IND,MIN,1391.758,1432.643
2012,JAX,HOU,1424.321,1564.074
2012,ATL,DEN,1573.966,1497.134
2012,CAR,NYG,1479.758,1582.554
2012,CLE,BUF,1394.2,1449.198
2012,DAL,TB,1490.087,1397.037
2012,DEN,HOU,1485.928,1587.28
2012,MIA,NYJ,1501.225,1509.089
2012,MIN,SF,1419.881,1631.163
2012,NO,KC,1559.444,1425.762
2012,TEN,DET,1454.742,1517.654
2012,OAK,PIT,1434.052,1575.411
2012,BAL,NE,1614.968,1659.295
2012,WAS,CIN,1445.561,1491.543
2012,CHI,LAR,1506.436,1362.822
2012,LAC,ATL,1581.083,1585.173
2012,ARI,PHI,1501.576,1573.118
2012,IND,JAX,1404.52,1401.115
2012,SEA,GB,1509.027,1624.272
2012,BAL,CLE,1621.426,1369.418
2012,GB,NO,1611.415,1536.331
2012,KC,LAC,1448.876,1542.233
2012,BUF,NE,1473.98,1652.836
2012,ARI,MIA,1533.162,1484.673
2012,DEN,OAK,1468.781,1451.52
2012,DET,MIN,1503.887,1457.089
2012,JAX,CIN,1423.203,1513.665
2012,NYJ,SF,1525.642,1593.955
2012,PHI,NYG,1541.532,1612.368
2012,TB,WAS,1386.615,1423.438
2012,ATL,CAR,1624.024,1449.944
2012,HOU,TEN,1604.427,1468.508
2012,LAR,SEA,1350.608,1521.885
2012,DAL,CHI,1500.509,1518.65
2012,LAR,ARI,1377.121,1542.186
2012,WAS,ATL,1435.468,1628.019
2012,NO,LAC,1532.308,1568.445
2012,KC,BAL,1422.664,1626.474
2012,CAR,SEA,1445.948,1495.372
2012,CIN,MIA,1540.148,1475.649
2012,SF,BUF,1629.116,1453.06
2012,JAX,CHI,1396.72,1551.48
2012,IND,GB,1382.433,1615.437
2012,PIT,PHI,1557.943,1552.732
2012,MIN,TEN,1485.812,1454.393
2012,NE,DEN,1673.756,1494.423
2012,NYG,CLE,1601.168,1364.371
2012,NYJ,HOU,1490.48,1618.543
2012,TEN,PIT,1432.185,1566.467
2012,CLE,CIN,1357.243,1516.953
2012,WAS,MIN,1422.721,1508.02
2012,TB,KC,1374.586,1414.573
